1. Task: 0 | Trial: 0 | Reward: ✅ | Duration: 23.51s | DB Match: YES | 
2. Task: 1 | Trial: 0 | Reward: ✅ | Duration: 45.96s | DB Match: YES | 
3. Task: 10 | Trial: 0 | Reward: ✅ | Duration: 22.63s | DB Match: YES | 
4. Task: 11 | Trial: 0 | Reward: ❌ | Duration: 64.60s | DB Match: YES | 
5. Task: 12 | Trial: 0 | Reward: ❌ | Duration: 27.52s | DB Match: NO | 
6. Task: 13 | Trial: 0 | Reward: ✅ | Duration: 26.41s | DB Match: YES | 
7. Task: 14 | Trial: 0 | Reward: ❌ | Duration: 39.71s | DB Match: NO | 
8. Task: 15 | Trial: 0 | Reward: ❌ | Duration: 25.20s | DB Match: NO | 
9. Task: 16 | Trial: 0 | Reward: ❌ | Duration: 21.35s | DB Match: NO | 
10. Task: 17 | Trial: 0 | Reward: ❌ | Duration: 40.28s | DB Match: NO | 
11. Task: 18 | Trial: 0 | Reward: ❌ | Duration: 292.06s | DB Match: YES | 
12. Task: 19 | Trial: 0 | Reward: ❌ | Duration: 16.13s | DB Match: NO | 
13. Task: 2 | Trial: 0 | Reward: ❌ | Duration: 56.59s | DB Match: NO | 
14. Task: 20 | Trial: 0 | Reward: ❌ | Duration: 71.59s | DB Match: NO | 
15. Task: 21 | Trial: 0 | Reward: ✅ | Duration: 174.87s | DB Match: YES | 
16. Task: 22 | Trial: 0 | Reward: ❌ | Duration: 29.08s | DB Match: NO | 
17. Task: 23 | Trial: 0 | Reward: ❌ | Duration: 161.22s | DB Match: NO | 
18. Task: 24 | Trial: 0 | Reward: ❌ | Duration: 33.85s | DB Match: NO | 
19. Task: 25 | Trial: 0 | Reward: ❌ | Duration: 181.67s | DB Match: NO | 
20. Task: 26 | Trial: 0 | Reward: ✅ | Duration: 17.64s | DB Match: YES | 
21. Task: 27 | Trial: 0 | Reward: ❌ | Duration: 17.37s | DB Match: NO | 
22. Task: 28 | Trial: 0 | Reward: ✅ | Duration: 14.95s | DB Match: YES | 
23. Task: 29 | Trial: 0 | Reward: ❌ | Duration: 32.58s | DB Match: NO | 
24. Task: 3 | Trial: 0 | Reward: ✅ | Duration: 30.51s | DB Match: YES | 
25. Task: 30 | Trial: 0 | Reward: ❌ | Duration: 43.49s | DB Match: NO | 
